,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2016-07-27,737.969970703125,740.9400024414062,733.8599853515625,736.6699829101562,736.6699829101562,2913100,AMZN,743.97034,752.6099853515625,7.30035400390625,0.0
2016-07-28,745.97998046875,753.3599853515625,739.7000122070312,752.6099853515625,752.6099853515625,7617600,AMZN,744.50885,758.8099975585938,-8.10113525390625,0.0
2016-07-29,765.0,766.0,755.0,758.8099975585938,758.8099975585938,6777100,AMZN,747.91113,767.739990234375,-10.89886474609375,0.0
2016-08-01,759.8699951171875,770.5,757.0599975585938,767.739990234375,767.739990234375,3578200,AMZN,752.40436,760.5800170898438,0.0,15.33563232421875
2016-08-02,763.8099975585938,765.010009765625,757.02001953125,760.5800170898438,760.5800170898438,3603300,AMZN,756.2656,754.6400146484375,0.0,4.31439208984375
2016-08-03,757.0599975585938,758.8900146484375,752.25,754.6400146484375,754.6400146484375,3581500,AMZN,758.25824,760.77001953125,3.61822509765625,0.0
2016-08-04,753.7000122070312,765.0,750.3499755859375,760.77001953125,760.77001953125,3178200,AMZN,759.45306,765.97998046875,-1.31695556640625,0.0
2016-08-05,764.8099975585938,768.469970703125,763.0900268554688,765.97998046875,765.97998046875,2704400,AMZN,761.4446,766.5599975585938,-4.535400390625,0.0
2016-08-08,766.8099975585938,767.0,761.02001953125,766.5599975585938,766.5599975585938,1986300,AMZN,763.42126,768.3099975585938,-3.13873291015625,0.0
2016-08-09,767.3900146484375,772.5999755859375,766.9000244140625,768.3099975585938,768.3099975585938,1876100,AMZN,765.61774,768.5599975585938,-2.6922607421875,0.0
2016-08-10,769.7999877929688,772.0999755859375,766.1900024414062,768.5599975585938,768.5599975585938,1604300,AMZN,767.6257,771.239990234375,-0.934326171875,0.0
2016-08-11,769.9400024414062,773.75,769.1199951171875,771.239990234375,771.239990234375,2019700,AMZN,769.53674,772.5599975585938,-1.7032470703125,0.0
2016-08-12,768.4600219726562,773.1500244140625,768.4199829101562,772.5599975585938,772.5599975585938,1563300,AMZN,771.0461,768.489990234375,0.0,1.513916015625
2016-08-15,771.9000244140625,772.0399780273438,767.7100219726562,768.489990234375,768.489990234375,2118500,AMZN,772.02795,764.0399780273438,0.0,-3.5379638671875
2016-08-16,768.6199951171875,768.72998046875,763.8200073242188,764.0399780273438,764.0399780273438,1604600,AMZN,771.98584,764.6300048828125,7.94586181640625,0.0
2016-08-17,764.4099731445312,765.219970703125,759.2000122070312,764.6300048828125,764.6300048828125,1891100,AMZN,771.0292,764.4600219726562,0.0,-6.399169921875
2016-08-18,764.0,765.1699829101562,760.5999755859375,764.4600219726562,764.4600219726562,1458800,AMZN,769.8399,757.3099975585938,0.0,-5.3798828125
2016-08-19,761.9000244140625,762.489990234375,756.8900146484375,757.3099975585938,757.3099975585938,2343200,AMZN,768.056,759.47998046875,10.74603271484375,0.0
2016-08-22,757.5,759.8499755859375,752.0999755859375,759.47998046875,759.47998046875,1679300,AMZN,765.9125,762.4500122070312,6.4324951171875,0.0
